id,y__abs_energy,y__absolute_maximum,y__absolute_sum_of_changes,y__ar_coefficient__coeff_8__k_10,"y__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)"
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---24,617.334382310836,0.559279,0.2257959999999973,0.0405855208202137,0.0023071522944502
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---3,617.334382310836,0.559279,0.2257959999999973,0.0405855208202137,0.0023071522944502
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---25,608.2558145424299,0.555744,0.1929459999999977,0.0503231314822143,0.002570416841981
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---26,608.2558145424299,0.555744,0.1929459999999977,0.0503231314822143,0.002570416841981
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---7,608.2558145424299,0.555744,0.1929459999999977,0.0503231314822143,0.002570416841981
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---27,602.1261465612299,0.550358,0.2131970000000022,0.0959677254811106,0.000723341994734
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---28,598.207066956076,0.548181,0.2627659999999975,0.0282503678368626,-0.0107351768226242
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---4,555.130178448316,0.531917,0.0630499999999993,0.2035966825166451,0.0029869439850525
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---8,603.456993516373,0.550978,0.2092459999999949,0.1244502332718246,-0.0009992261928899
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---9,605.853495191029,0.554676,0.2501679999999981,0.1060687503704498,0.002678102773911
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---0,73.116628713437,0.469042,2.144418,-0.0908250360683632,0.1647202994135087
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---10,73.116628713437,0.469042,2.144418,-0.0908250360683632,0.1647202994135087
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---2,73.116628713437,0.469042,2.144418,-0.0908250360683632,0.1647202994135087
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---9,73.116628713437,0.469042,2.144418,-0.0908250360683632,0.1647202994135087
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---1,72.97174401642701,0.470653,2.116972,0.0225649518274544,0.1519889235045619
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---11,72.97174401642701,0.470653,2.116972,0.0225649518274544,0.1519889235045619
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---12,73.00510640766498,0.471754,2.196821,0.1143242562840269,0.1579713648329096
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---13,72.896864151823,0.474213,2.158776,0.0201965521683767,0.153922617837126
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---14,73.55829826212299,0.473678,2.124016999999999,0.1548474916792699,0.1533229772156347
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---15,73.46880649959,0.470422,2.248114,0.2578501709929611,0.1582128896162296
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---16,72.93080602213499,0.469479,2.163237000000001,0.0541539938329497,0.1553886152681592
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---8,72.93080602213499,0.469479,2.163237000000001,0.0541539938329497,0.1553886152681592
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---18,72.800608246996,0.468917,2.0241780000000014,-0.0705268347941672,0.1628058166802549
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---22,72.800608246996,0.468917,2.0241780000000014,-0.0705268347941672,0.1628058166802549
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---19,73.58968457523301,0.473424,2.071037999999999,0.152873986485479,0.1597858879986157
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---5,73.58968457523301,0.473424,2.071037999999999,0.152873986485479,0.1597858879986157
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---20,72.71761393977698,0.471227,2.1754890000000016,-0.0418868146326938,0.1666276448601436
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---21,72.71761393977698,0.471227,2.1754890000000016,-0.0418868146326938,0.1666276448601436
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---23,73.260047473148,0.468142,2.034307999999999,-0.1317273607158372,0.1654648147779288
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---4,73.260047473148,0.468142,2.034307999999999,-0.1317273607158372,0.1654648147779288
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---24,73.630783491182,0.473794,2.1935830000000003,0.1557118730110511,0.1598554743729574
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---29,73.630783491182,0.473794,2.1935830000000003,0.1557118730110511,0.1598554743729574
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---25,72.959260544667,0.471726,2.2036040000000003,0.1112206285275211,0.1587377646755897
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---26,72.945411043115,0.469774,2.2161120000000003,0.154413473528872,0.1504637874111817
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---7,72.945411043115,0.469774,2.2161120000000003,0.154413473528872,0.1504637874111817
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---27,72.772987981578,0.470832,1.9737690000000008,-0.0586046218564707,0.1664662179499755
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---28,72.74157317279801,0.471191,2.160498,0.2049580933412242,0.1608215413520948
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---3,73.487401932246,0.483297,2.1022289999999995,0.2118341953684618,0.1586127101901168
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#binarytrees---6,72.812147645606,0.47039,2.132566,0.147710903158428,0.1395662534148891
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#fannkuch_redux---0,284.383505639751,0.841928,0.6804610000000006,0.0281441948910936,0.2723132420587696
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#fannkuch_redux---22,284.383505639751,0.841928,0.6804610000000006,0.0281441948910936,0.2723132420587696
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#fannkuch_redux---10,275.50014882727,0.77811,1.022803,-0.0012681737200746,0.2132558489737473
warmup_results_0_8_linux2_i7_4790___Graal-default-java.json#fannkuch_redux---12,289.203694196415,0.75273,0.6709850000000015,0.0324645370364111,0.2037217829017971
